brand,ig_temple,ig_machine,ig_temple_rationale,ig_machine_rationale,Company,Meta,Sub,Locations,Instagram,posts,followers,Franchise,Virtual_Fitness_Service,In_Person_Fitness_Service,Equipment/Apparel,Notes
underarmour,2,9,"The imagery and messaging focus primarily on athletic performance, competition, and achievement, with little emphasis on holistic wellness, balance, or the sacredness of the body. There are some hints of camaraderie and confidence, but these are not central.","The content is dominated by themes of optimization, performance, and results. Athletes are depicted in action, training, or competition, and the messaging emphasizes improvement, strength, and achievement, aligning closely with the 'body as machine' orientation.",under armour,92,apparel,NA,https://www.instagram.com/underarmour/,4379,8200000,NA,0,0,1,NA
newbalance,2,8,"There is minimal emphasis on holistic or sacred aspects of the body. The imagery is focused on athletes and performance, with little reference to balance, harmony, or wellness beyond physical activity.","The page strongly emphasizes athletic performance, optimization, and results, as seen in the focus on athletes, sports, and statistics. The body is depicted as a tool for achievement and competition, aligning closely with the 'machine' dimension.",new balance,140,apparel,NA,https://www.instagram.com/newbalance/,413,8500000,NA,0,0,1,NA
puma,2,8,"There is a slight nod to holistic experience in the phrase 'FOR THE RUNNERS HIGH,' which can imply a sense of well-being or harmony, but the overall focus is not on balance or sacredness.","The imagery and messaging are heavily performance-oriented, featuring athletes, race times, and high-tech gear. The emphasis is on optimization, achievement, and results, which aligns strongly with the 'machine' representation of the body.",puma,46,apparel,NA,https://www.instagram.com/puma/,3320,13000000,NA,0,0,1,NA
adidas,2,9,"There are some elements of celebration, unity, and emotional moments (e.g., athletes hugging, raising trophies), which can hint at holistic or communal values, but these are not the dominant themes.","The imagery and messaging are heavily focused on athletic performance, competition, achievement, and optimization (e.g., running, winning, training with equipment), which strongly aligns with the 'machine' dimension.",adidas,160,apparel,NA,https://www.instagram.com/adidas/,1361,29400000,NA,0,0,1,NA
beyond,8,2,"The imagery and messaging emphasize holistic wellbeing, balance, and harmony, with visuals of yoga, nature, peaceful moments, and community. The brand bio references 'wellbeing' and stretching the rules of it, and the content includes calming quotes and serene settings, all of which align with the 'temple' orientation.","There is minimal focus on performance, optimization, or mechanical aspects of the body. While there are some active poses and movement, the overall tone is not result-driven or performance-oriented, but rather about enjoyment and balance.",beyond yoga,170,equipment,NA,https://www.instagram.com/beyondyoga/,4480,521000,NA,0,0,1,trouble with chatgpt prompt
gaiam,9,2,"The imagery and messaging focus heavily on yoga, meditation, mindfulness, and holistic wellness, with visuals of calm, balance, and self-care. The quote 'The present is enough' and serene poses reinforce a sacred, harmonious view of the body.","There are some elements of physical fitness and performance (e.g., athletic poses, resistance bands), but these are secondary to the overall emphasis on balance, wellness, and mindfulness rather than optimization or mechanical performance.",Gaiam,0,equipment,NA,https://www.instagram.com/gaiam/,2945,137000,NA,0,0,1,NA
lifespan,2,8,There is minimal emphasis on holistic wellness or the body as sacred or in harmony. The imagery and messaging focus more on activity and productivity rather than balance or mindfulness.,"The content strongly emphasizes optimization, performance, and productivity, such as cycling or walking while working, burning more calories, and maximizing efficiency. The body is presented as something to be optimized for better results, aligning with a machine-like orientation.",lifespan,0,equipment,NA,https://www.instagram.com/lifespan_fitness/,824,4698,NA,1,0,1,NA
liforme,9,1,"The imagery and messaging focus heavily on yoga, mindfulness, and harmony, with visuals of serene environments, meditative poses, and holistic well-being. The use of natural settings, calm colors, and spiritual symbols reinforces the idea of the body as sacred and balanced.","There is minimal emphasis on performance, optimization, or mechanical aspects of the body. The content does not highlight results, efficiency, or a performance-driven approach, but rather centers on holistic wellness and inner balance.",liforme,26,equipment,NA,https://www.instagram.com/liforme/,2239,293000,NA,0,0,1,NA
arx,1,10,"There is minimal emphasis on holistic, sacred, or balanced representations of the body. The content is almost entirely focused on technology, optimization, and performance, with only a slight nod to general well-being (e.g., 'Your strongest years start here').","The messaging and imagery are dominated by themes of optimization, technology, performance, and efficiency. Phrases like 'motorized resistance and computer software,' 'maximize your workout,' 'biohacking fitness,' and '100% effort safely' all frame the body as a machine to be optimized and enhanced through advanced equipment.",arx,0,equipment,NA,https://www.instagram.com/arxfit/,272,8655,NA,1,0,1,NA
manduka,9,3,"The imagery and messaging focus on mindfulness, balance, and harmony with nature, as well as holistic well-being. The use of serene outdoor settings, meditative poses, and references to sanctuary and cycles of practice all emphasize the body as sacred and in harmony.","There are some references to performance and optimization, such as 'practice makes sweat' and high-performance yoga equipment, but these are secondary to the overall holistic and mindful presentation.",manduka,27,equipment,NA,https://www.instagram.com/mandukayoga/,3217,325000,NA,0,0,1,NA
totalgym,3,8,"There are some elements that hint at holistic wellness, such as an image of a woman smiling and eating an apple, and a post mentioning 'Strength Meets Flow' which could suggest balance. However, these are secondary to the main focus and not dominant in the overall messaging or imagery.","The majority of the imagery and text focus on performance, workouts, and optimizing results (e.g., 'How to Get Started,' 'Strong,' 'Workout,' 'Challenge'). The equipment and exercise demonstrations emphasize the body as something to be trained, improved, and made more efficient, aligning closely with the machine orientation.",Total Gym,27,equipment,NA,https://www.instagram.com/totalgymdirect/,2089,18700,NA,1,0,1,NA
lifefitness,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. The imagery and messaging focus primarily on equipment, performance, and gym environments, with little reference to balance, harmony, or wellness beyond physical training.","The page is dominated by themes of optimization, performance, and mechanical enhancement. Phrases like 'Built to Perform,' the presence of advanced gym equipment, and the focus on strength and results all strongly frame the body as a machine to be improved and optimized.",life fitness,140,equipment,NA,https://www.instagram.com/lifefitnessofficial/,2038,82600,NA,1,0,1,NA
nordic,2,9,"The content is primarily focused on fitness equipment, training, and performance, with little emphasis on holistic wellness, balance, or the body as sacred. There are some minor elements of motivation and personal achievement, but these are not central.","The imagery and messaging are dominated by high-tech fitness machines, athletic performance, and optimization. The focus is on using equipment to improve results, train harder, and achieve measurable goals, strongly aligning with the 'body as machine' concept.",nordictrack,150,equipment,NA,https://www.instagram.com/nordictrack/,2638,315000,NA,1,0,1,chatgpt issue selecting
wahoo,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. The imagery and messaging focus on training, performance, and equipment, with little reference to balance, harmony, or wellness beyond physical achievement.","The brand heavily emphasizes the body as a machine through its focus on training equipment, performance, optimization, and athletic achievement. The visuals and captions highlight result-driven, mechanical, and performance-oriented themes.",wahoo,42,equipment,NA,https://www.instagram.com/wahoofitnessofficial/,2700,333000,NA,1,0,1,NA
24hour,2,8,"The content is primarily focused on gym workouts, performance, and motivation, with little emphasis on holistic wellness, balance, or the body as sacred. There is minimal reference to harmony or a holistic approach to fitness.","The imagery and messaging are heavily oriented toward performance, gym routines, and optimizing physical results. The focus is on working out, strength, and not skipping the gym, which aligns with a machine-like, result-driven representation of the body.",24 Hour Fitness,260,gym,275,https://www.instagram.com/24hourfitness/,2080,108000,0,0,1,0,NA
healthtrax,5,6,"There are elements that suggest a holistic approach, such as references to wellness, stress reduction, and balance (e.g., 'recover faster,' 'reduce stress,' 'wellness,' and 'unlock your best self'). However, these are balanced with more practical and performance-oriented messages.","There is a clear emphasis on performance and optimization, such as 'increase mobility,' 'prevent injury,' and 'recover faster.' The presence of gym equipment, workout sessions, and reward systems also point toward a result-driven, mechanical view of the body, though not to the exclusion of holistic themes.",Healthtrax,6,gym,16,https://www.instagram.com/healthtraxfitnesswellness,1346,1478,0,0,1,0,east greenwich meta
anytime,4,8,"There are some elements of community, support, and personal stories that suggest a holistic or balanced approach to fitness, but these are not the dominant themes. The focus is not primarily on the sacredness or harmony of the body.","The imagery and messaging are heavily oriented toward training, performance, and results, with emphasis on coaching, workouts, and physical transformation. The language and visuals prioritize optimization and achievement, aligning closely with a machine-like representation of the body.",anytime fitness,140,gym,5200,https://www.instagram.com/anytimefitness/,3064,165000,1,0,1,0,NA
centralrock,2,6,"The content is primarily focused on gym events, sales, and competitions, with little emphasis on holistic, sacred, or balanced representations of the body. There is some community and inclusivity messaging, but it does not strongly evoke the 'temple' dimension.","The imagery and messaging emphasize performance, competition, and optimization (e.g., climbing competitions, training, and gym environment). The focus is on results, improvement, and physical challenge, aligning more with the 'machine' dimension.",central rock gym,2,gym,30,https://www.instagram.com/centralrockmanhattan/,541,6325,0,0,1,0,manhattan
chuze,4,7,"There are some elements that suggest community, fun, and a welcoming environment (e.g., group photos, playful costumes, and the phrase 'Temple City'), which can be loosely associated with holistic or balanced approaches. However, the temple dimension is not dominant.","The imagery and messaging focus heavily on gym equipment, workouts, and performance-oriented themes (e.g., 'HEAT WEEK', internal training, and fitness classes), which align with a machine-like, optimized, and result-driven representation of the body.",chuze fitness,140,gym,58,https://www.instagram.com/chuzefitness/,3260,62000,0,0,1,0,bailey's
discover,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. While some posts mention balance and limits, the overall messaging is not focused on harmony or a holistic approach.","The content is highly focused on optimization, performance, and results, with frequent references to strength, muscle fatigue, anti-aging, and scientific approaches to training. The body is presented as something to be improved and optimized through specific, measurable actions.",Discover Strength,87,gym,30,https://www.instagram.com/discoverstrength/,1770,6296,1,0,1,0,NA
equinox,3,7,"There are some references to mental health and holistic well-being (e.g., the post about screen time and mental health), but the overall imagery and messaging do not strongly emphasize the body as sacred, balanced, or in harmony. The focus is not predominantly on holistic or spiritual wellness.","The presence of gym imagery, performance-oriented language, and a focus on optimization (e.g., references to chronotypes, gym settings, and direct, result-driven messaging) suggest a strong orientation toward the body as a machine. The brand emphasizes performance, results, and optimization more than holistic balance.",Equinox,90,gym,116,https://www.instagram.com/equinox/,790,486000,0,0,1,0,NA
golds,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. The messaging and imagery focus primarily on strength, competition, and physical transformation, with little reference to balance, harmony, or wellness.","The page heavily emphasizes performance, optimization, and results. Imagery of muscular physiques, competition winners, and motivational language about strength and achievement dominate, presenting the body as a machine to be trained and perfected.",gold's gym,14,gym,700,https://www.instagram.com/goldsgym/,478,450000,1,0,1,0,PNW for meta
lafitness,2,9,"The content is primarily focused on workouts, performance, and physical achievement, with little emphasis on holistic wellness, balance, or the body as sacred. There are some minor elements of community and personal accomplishment, but these are not central.","The imagery and messaging are heavily oriented toward optimizing performance, achieving results, and pushing physical limits. Phrases like 'Turning motivation into results,' workout demonstrations, and performance-based captions all reinforce a machine-like, result-driven view of the body.",LA Fitness,0,gym,639,https://www.instagram.com/lafitness/,1769,212000,0,0,1,0,NA
lifetime,7,5,"The imagery emphasizes holistic wellness, balance, and a serene, harmonious lifestyle. There are visuals of calm, mindful movement, relaxation, and natural light, suggesting a sacred or balanced approach to the body. The tagline 'In your element' and the overall aesthetic reinforce a sense of harmony and well-being.","There are elements of performance and optimization, such as athletic activities (tennis, gym workouts) and athletic apparel, which suggest a focus on results and physical capability. However, this is balanced with a strong emphasis on holistic wellness, so the machine orientation is present but not dominant.",LifeTime,540,gym,229,https://www.instagram.com/lifetime.life/,232,300000,0,0,1,0,NA
onelife,3,7,"There are some elements of community, support, and holistic wellness (e.g., group photos, nutrition coaching), but the overall messaging and imagery do not strongly emphasize the body as sacred, balanced, or in harmony.","The majority of the content focuses on physical training, performance, and fitness results (e.g., gym workouts, cardio, strength training), which aligns with a machine-like, performance-oriented view of the body.",OneLife Fitness,180,gym,62,https://www.instagram.com/onelifefit/,3364,50900,0,0,1,0,chatgpt issue selecting
planet,3,8,"There are some elements of balance and self-improvement, such as references to recovery and feeling good after workouts, but the overall focus is not on holistic wellness or sacredness.","The messaging and imagery are heavily oriented toward performance, strength, and results, with phrases like 'strongest one standing,' 'how strong they are,' and visible gym equipment, emphasizing optimization and achievement.",planet fitness,1500,gym,2700,https://www.instagram.com/planetfitness/,992,521000,1,0,1,0,NA
snap,6,7,"There are several posts emphasizing holistic well-being, such as lowering cortisol, the connection between gut health and mood, and the importance of exercise for all ages and health conditions. Messaging like 'Thankful for fitness' and 'It's not about having time' also suggest a balanced, inclusive, and supportive approach, which aligns with the temple dimension.","There is a strong focus on performance, optimization, and results, such as posts about consistency, perfection, strength training, and research-backed benefits of exercise. The imagery of people working out and the use of scientific language (e.g., serotonin, cortisol, risk reduction) reinforce a machine-like, performance-oriented view of the body.",snap fitness 24/7,3,gym,1000,https://www.instagram.com/snapfitness/,3603,47700,1,0,1,0,alamo ranch meta
vasa,3,8,"There are some elements of holistic wellness and community, such as references to living confidently, living healthy, and group fitness, but the overall focus is not on balance, harmony, or sacredness of the body.","The imagery and messaging are heavily oriented toward performance, optimization, and results, with visuals of weightlifting, gym equipment, and phrases like 'benchmarks' and 'endure.' The emphasis is on physical achievement and measurable progress.",vasa fitness,0,gym,60,https://www.instagram.com/vasafitness/,3770,89200,0,0,1,0,NA
youfit,2,7,"The content is mostly focused on gym activities, group workouts, and fitness routines, with little emphasis on holistic wellness, balance, or sacredness. There is some sense of community and inclusion, but the temple dimension is not a defining feature.","The imagery and messaging emphasize gym equipment, workout routines, and performance (e.g., lifting weights, using machines, fitness coaching). The focus is on optimizing the body and achieving results, which aligns with the machine orientation, though not to the exclusion of all other themes.",YouFit,33,gym,80,https://www.instagram.com/youfitgyms/,873,47200,0,0,1,0,NA
apollo,8,5,"The messaging and imagery emphasize holistic well-being, balance, and harmony, such as 'calm body, clear mind,' 'balanced nervous system,' and 'transform your sleep.' The visuals show relaxed, happy individuals and references to emotional and mental health, which align with the 'temple' orientation.","There are elements of optimization and performance, such as 'reset your circadian rhythm,' 'regulation era,' and the use of technology to improve well-being. However, these are balanced with a strong focus on holistic health, so the machine orientation is present but not dominant.",apollo neuro,65,tech,NA,https://www.instagram.com/apolloneuro/,960,63500,NA,0,0,1,NA
biostrap,3,9,"There are some references to holistic health and stress management, and a few visuals suggest balance or harmony (e.g., the glowing hand, the mind-body connection), but these are secondary to the main themes.","The dominant imagery and messaging focus on biometrics, quantification, technology, optimization, and performance tracking. The use of data, devices, and scientific visuals strongly frames the body as a machine to be measured and optimized.",biostrap,0,tech,NA,https://www.instagram.com/biostrap/,461,20600,NA,0,0,1,NA
coros,2,9,"The content is focused on athletic performance, technology, and data-driven training, with little emphasis on holistic wellness, balance, or the sacredness of the body. There are some images of athletes smiling or outdoors, which could hint at enjoyment or harmony, but this is not a dominant theme.","The imagery and messaging are heavily centered on optimization, performance, and the use of advanced technology (watches, data, metrics) to enhance athletic output. The body is depicted as something to be measured, tracked, and improved, aligning closely with the 'machine' orientation.",coros,22,tech,NA,https://www.instagram.com/corosglobal/,2158,225000,NA,0,0,1,NA
garmin,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. The content is focused on data, performance, and metrics, with little reference to balance, harmony, or wellness beyond recovery tracking.","The imagery and messaging are dominated by performance metrics, optimization, and tracking bodily functions as data points. The body is represented as something to be measured, improved, and pushed for results, aligning closely with the 'machine' orientation.",garmin,110,tech,NA,https://www.instagram.com/garmin/,3066,1500000,NA,0,0,1,NA
hyperice,3,9,"There are some subtle references to recovery and well-being, which can be associated with balance and care for the body, but the overall focus is not on holistic or sacred aspects.","The imagery and messaging are heavily centered on performance, optimization, and recovery as a means to enhance physical output. The use of technology, athletic gear, and phrases like 'accelerate your warm-up' and 'court-ready starts with recovery' strongly frame the body as a machine to be optimized.",hyperice,30,tech,NA,https://www.instagram.com/hyperice/,2503,609000,NA,0,0,1,NA
polar,4,8,"There are some elements that suggest holistic well-being, such as tips for building habits, digital detox, and references to sleep and care. These indicate a partial focus on balance and overall health, but this is not the dominant theme.","The majority of the imagery and messaging centers on performance, optimization, and data-driven results (e.g., race data, heart rate monitoring, wearables for tracking activity). The body is often depicted as something to be measured, improved, and optimized, aligning strongly with the 'machine' dimension.",polar,0,tech,NA,https://www.instagram.com/PolarGlobal,2878,217000,NA,0,0,1,NA
suunto,2,9,"There are some subtle elements of adventure, nature, and personal achievement that could be loosely associated with holistic or balanced living, but the overall focus is not on the body as sacred or in harmony.","The imagery and messaging are heavily centered on performance, optimization, and data-driven results, with a strong emphasis on watches, metrics, and athletic achievement, clearly presenting the body as a machine to be measured and improved.",suunto,18,tech,NA,https://www.instagram.com/suunto/,2490,530000,NA,0,0,1,NA
therabody,4,8,"There are some elements of self-care, relaxation, and wellness (e.g., facial masks, massage devices used in calm settings), which suggest a partial holistic or restorative approach. However, these are not the dominant themes.","The majority of the imagery and messaging focus on performance, optimization, and recovery (e.g., gym settings, massage guns, references to being the '#1 Percussive Massage Gun Brand'). The body is often depicted as something to be optimized or enhanced, aligning closely with the 'machine' dimension.",Therabody,56,tech,NA,https://www.instagram.com/therabody/,3316,1100000,NA,0,0,1,NA
whoop,3,9,"There are some references to health, longevity, and holistic wellness (e.g., sleep, healthspan, and hormonal health in the highlights), but the overall tone is not strongly focused on balance or sacredness. The messaging is more about tracking and optimizing rather than harmony.","The imagery and messaging are heavily focused on optimization, performance metrics, innovation, and data-driven results (e.g., 'Advanced Labs,' 'most innovative,' performance stats, and athletic imagery). The body is presented as something to be measured, improved, and pushed for results, aligning closely with the 'machine' dimension.",Whoop,31,tech,NA,https://www.instagram.com/whoop/,2193,1700000,NA,0,0,1,NA
alltrails,8,1,"The imagery and messaging focus on nature, harmony, and the experience of being outdoors, with themes of protection, mental presence, and enchantment. The content emphasizes a holistic and balanced relationship with the environment, aligning with the 'temple' dimension.","There is minimal emphasis on performance, optimization, or mechanical aspects of the body. The content does not highlight results, efficiency, or physical achievement, making the 'machine' dimension almost entirely absent.",alltrails,14,tracking,NA,https://www.instagram.com/alltrails/,3415,707000,NA,1,0,0,NA
athos,2,9,"There is minimal emphasis on holistic or sacred aspects of the body. The content is focused on technology, performance, and data, with little reference to balance, harmony, or wellness beyond physical optimization.","The brand heavily emphasizes performance technology, real-time biofeedback, and data-driven optimization of physical training. Imagery and messaging focus on metrics, results, and the body as something to be measured and improved, aligning strongly with the 'machine' dimension.",athos,0,tracking,NA,https://www.instagram.com/liveathos/?hl=en,279,6450,NA,1,0,0,NA
myfitness,3,7,"There are some elements of holistic health and balance, such as meal planning for families and references to living a healthier life, but the overall messaging is not strongly focused on the body as sacred or in harmony.","The page emphasizes tracking, optimization, and performance (e.g., nutrition tracking, goal setting, and sports), which aligns with a machine-like, result-driven approach to the body. The use of app notifications and tracking tools further supports this orientation.",MyFitnessPal,68,tracking,NA,https://www.instagram.com/myfitnesspal/,3279,429000,NA,1,0,0,NA
strava,3,9,"There are some elements of community, enjoyment, and personal journey (e.g., group photos, smiling faces, and references to stories and clubs) that hint at a holistic or balanced approach, but these are secondary to the main focus.","The dominant messaging and imagery focus on performance, metrics, achievements, and optimization (e.g., race recaps, distance and pace stats, goal-chasing language). The body is primarily represented as something to be measured, improved, and pushed toward results.",strava,52,tracking,NA,https://www.instagram.com/strava/,2525,1600000,NA,1,0,0,NA
trainingpeaks,1,9,"The content is almost entirely focused on performance, data analysis, and optimization, with little to no emphasis on holistic wellness, balance, or the body as sacred. There is minimal reference to harmony or a holistic approach.","The messaging and imagery are dominated by themes of performance, optimization, data-driven training, and results. Phrases like 'analyze your training,' 'fastest splits,' and 'endurance unlimited' all frame the body as a machine to be optimized for peak performance.",TrainingPeaks,90,tracking,NA,https://www.instagram.com/trainingpeaks/,1871,149000,NA,1,0,0,NA
xtend,6,5,"The imagery and messaging emphasize holistic wellness, balance, and enjoyment of movement (e.g., group classes, outdoor activities, and the phrase 'the exhilaration of aerobic dance'). There is a sense of community and harmony, as well as references to the science and experience of Pilates, which often carries a mind-body connection.","There are elements focused on performance and optimization, such as 'The Science of Pilates,' 'Get Certified to Teach XTEND,' and references to challenges and express workouts. These suggest a result-driven, performance-oriented approach, but this is balanced with more holistic and community-focused content.",xtend barre,0,virtual,11,https://www.instagram.com/xtend_barre/,2788,53000,0,1,1,0,bodi offers online
fightcamp,2,9,"The content is primarily focused on boxing, training, and performance, with little emphasis on holistic wellness, balance, or sacredness. There is a minor presence of family and motivation, but these are not central.","The messaging and imagery are highly performance-oriented, emphasizing training, technique, optimization, and measurable results (e.g., punch count, specific moves, gear comparison). The body is depicted as something to be trained and optimized, fitting the 'machine' dimension strongly.",FightCamp,41,virtual,NA,https://www.instagram.com/fightcamp/,1132,124000,NA,1,0,1,NA
cityrow,6,7,"There are several references to holistic well-being, calm, and intention (e.g., 'STRENGTH for WELLBEING', 'FIND CALM', 'Let's move with intention', 'LET'S STRETCH IT OUT'), suggesting a balanced and mindful approach to fitness. However, the temple dimension is not completely dominant, as performance and optimization themes are also present.","The messaging emphasizes full body workouts, strength, and performance ('Join the Own The Finish Program', 'Making Sense of the Numbers', 'Let's Get Rowing'), which aligns with a machine-like, result-driven orientation. The focus on metrics and structured programs further supports this, though it is balanced by wellness and mindfulness themes.",cityrow,3,virtual,NA,https://www.instagram.com/cityrow/,1618,15800,NA,1,0,1,home
hydrow,6,7,"The brand messaging includes phrases like 'Full-body endorphins' and 'Meditative movement,' and several images show people rowing in nature or in serene environments, suggesting a holistic and balanced approach to fitness. There is an emphasis on enjoyment, mindfulness, and the overall experience, which aligns with the 'temple' dimension.","There is a strong focus on performance and optimization, with posts about 'Workouts to Improve ENDURANCE,' 'HydraMetrics,' and winning competitions. The presence of structured workouts, metrics, and performance-driven language indicates a significant 'machine' orientation, emphasizing results and physical optimization.",hydrow,51,virtual,NA,https://www.instagram.com/hydrow/,2816,92500,NA,1,0,1,NA
campgladiator,4,8,"There are some elements of community, group celebration, and holistic wellness (e.g., group photos, community highlights, and nutrition), but the overall focus is not strongly on balance, harmony, or sacredness.","The imagery and messaging are heavily oriented toward performance, fitness challenges, measurable achievements, and optimization (e.g., workout scenes, supplements, competition podiums, and milestone celebrations), which aligns closely with the 'machine' dimension.",camp gladiator,3,virtual,NA,https://www.instagram.com/campgladiator/,1998,51700,NA,1,0,0,NA
frame,5,8,"The brand's Instagram page features some elements of holistic wellness and balance, such as group Pilates sessions, calm and focused poses, and references to overall well-being. However, the emphasis is not strongly on sacredness or harmony, but these aspects are present in the visual tone and some messaging.","The imagery and messaging are heavily performance-oriented, with a focus on Pilates equipment, physical results, and optimization. The use of reformer machines, athletic poses, and language like 'No Excuses November' all point to a mechanical, result-driven approach to the body.",frame reformer,0,virtual,NA,https://www.instagram.com/framereformer/,867,103000,NA,1,0,1,home
litesport,2,8,"The content is primarily focused on VR fitness, performance, and training, with little emphasis on holistic wellness, balance, or the body as sacred. There is minimal visual or textual reference to harmony or a holistic approach.","The imagery and messaging emphasize optimization, performance, and results, with VR technology and athletic poses suggesting a mechanical, result-driven approach to the body. The focus is on maximizing potential and achieving goals, aligning closely with the 'machine' dimension.",litesport,0,virtual,NA,https://www.instagram.com/litesport/,712,62200,NA,1,0,1,NA
supernatural,4,7,"There are some elements of community, fun, and themed workouts that suggest a holistic and enjoyable approach to fitness, but the overall messaging is not strongly focused on balance, harmony, or sacredness of the body.","The language emphasizes results, performance, and virtual workouts, with phrases like 'real results' and 'showdowns,' which frame fitness as a competitive, optimized, and performance-driven activity. The imagery also highlights intensity and achievement.",supernatural,0,virtual,NA,https://www.instagram.com/getsupernatural/?hl=en,1047,55600,NA,1,0,1,meta owned
